objective_profit,portfolio_standard_deviation,1326台化,2002中鋼,2886兆豐金,2207和泰車,2454聯發科,2317鴻海,3711日月光投控,2891中信金,3008大立光,2330台積電,2303聯電,2881富邦金,2308台達電,6505台塑化,3045台灣大,2412中華電,1303南亞,1216統一,2882國泰金,1301台塑
0.002811470972540093,0.011734,0.0,0.070827,0.0,0.08754,0.128457,0.07439,0.065172,0.0,0.0,0.108752,0.156399,0.068696,0.107042,0.0,0.0,0.065772,0.0,0.0,0.066953,0.0
0.0028808096100363424,0.011895,0.0,0.068843,0.0,0.08722,0.132167,0.072759,0.062644,0.0,0.0,0.110508,0.162853,0.066504,0.108632,0.0,0.0,0.063281,0.0,0.0,0.064588,0.0
0.0029501482475325917,0.012059,0.0,0.066859,0.0,0.086899,0.135877,0.071128,0.060116,0.0,0.0,0.112264,0.169308,0.064312,0.110222,0.0,0.0,0.060791,0.0,0.0,0.062223,0.0
0.0030194868850288406,0.012226,0.0,0.064875,0.0,0.086579,0.139588,0.069497,0.057589,0.0,0.0,0.114021,0.175762,0.062119,0.111812,0.0,0.0,0.058301,0.0,0.0,0.059858,0.0
0.00308882552252509,0.012395,0.0,0.062891,0.0,0.086258,0.143298,0.067865,0.055061,0.0,0.0,0.115777,0.182217,0.059927,0.113402,0.0,0.0,0.055811,0.0,0.0,0.057493,0.0
0.0031581641600213393,0.012567,0.0,0.060907,0.0,0.085938,0.147008,0.066234,0.052533,0.0,0.0,0.117533,0.188671,0.057735,0.114993,0.0,0.0,0.053321,0.0,0.0,0.055128,0.0
0.0032275027975175886,0.012741,0.0,0.058923,0.0,0.085617,0.150719,0.064603,0.050005,0.0,0.0,0.11929,0.195126,0.055542,0.116583,0.0,0.0,0.050831,0.0,0.0,0.052763,0.0
0.003296841435013838,0.012918,0.0,0.056939,0.0,0.085297,0.154429,0.062972,0.047477,0.0,0.0,0.121046,0.20158,0.05335,0.118173,0.0,0.0,0.04834,0.0,0.0,0.050398,0.0
0.003366180072510087,0.013097,0.0,0.054955,0.0,0.084976,0.158139,0.06134,0.044949,0.0,0.0,0.122802,0.208035,0.051158,0.119763,0.0,0.0,0.04585,0.0,0.0,0.048033,0.0
0.0034355187100063365,0.013278,0.0,0.05297,0.0,0.084655,0.16185,0.059709,0.042421,0.0,0.0,0.124559,0.214489,0.048965,0.121353,0.0,0.0,0.04336,0.0,0.0,0.045668,0.0
0.003504857347502586,0.013461,0.0,0.050986,0.0,0.084335,0.16556,0.058078,0.039893,0.0,0.0,0.126315,0.220943,0.046773,0.122943,0.0,0.0,0.04087,0.0,0.0,0.043303,0.0
0.003574195984998835,0.013646,0.0,0.049002,0.0,0.084014,0.16927,0.056447,0.037366,0.0,0.0,0.128071,0.227398,0.044581,0.124534,0.0,0.0,0.03838,0.0,0.0,0.040938,0.0
0.0036435346224950845,0.013833,0.0,0.047018,0.0,0.083694,0.172981,0.054815,0.034838,0.0,0.0,0.129828,0.233852,0.042388,0.126124,0.0,0.0,0.035889,0.0,0.0,0.038573,0.0
0.003712873259991334,0.014022,0.0,0.045034,0.0,0.083373,0.176691,0.053184,0.03231,0.0,0.0,0.131584,0.240307,0.040196,0.127714,0.0,0.0,0.033399,0.0,0.0,0.036208,0.0
0.003782211897487583,0.014213,0.0,0.04305,0.0,0.083053,0.180401,0.051553,0.029782,0.0,0.0,0.13334,0.246761,0.038004,0.129304,0.0,0.0,0.030909,0.0,0.0,0.033843,0.0
0.0038515505349838324,0.014405,0.0,0.041066,0.0,0.082732,0.184111,0.049921,0.027254,0.0,0.0,0.135097,0.253216,0.035811,0.130894,0.0,0.0,0.028419,0.0,0.0,0.031478,0.0
0.003920889172480082,0.014599,0.0,0.039082,0.0,0.082412,0.187822,0.04829,0.024726,0.0,0.0,0.136853,0.25967,0.033619,0.132484,0.0,0.0,0.025929,0.0,0.0,0.029113,0.0
0.0039902278099763315,0.014794,0.0,0.037098,0.0,0.082091,0.191532,0.046659,0.022198,0.0,0.0,0.138609,0.266125,0.031427,0.134075,0.0,0.0,0.023439,0.0,0.0,0.026748,0.0
0.00405956644747258,0.014991,0.0,0.035114,0.0,0.081771,0.195242,0.045028,0.01967,0.0,0.0,0.140365,0.272579,0.029234,0.135665,0.0,0.0,0.020948,0.0,0.0,0.024383,0.0
0.00412890508496883,0.015189,0.0,0.03313,0.0,0.08145,0.198953,0.043396,0.017142,0.0,0.0,0.142122,0.279034,0.027042,0.137255,0.0,0.0,0.018458,0.0,0.0,0.022018,0.0
0.004198243722465079,0.015389,0.0,0.031146,0.0,0.08113,0.202663,0.041765,0.014615,0.0,0.0,0.143878,0.285488,0.02485,0.138845,0.0,0.0,0.015968,0.0,0.0,0.019653,0.0
0.004267582359961329,0.01559,0.0,0.029162,0.0,0.080809,0.206373,0.040134,0.012087,0.0,0.0,0.145634,0.291942,0.022657,0.140435,0.0,0.0,0.013478,0.0,0.0,0.017288,0.0
0.004336920997457578,0.015792,0.0,0.027178,0.0,0.080488,0.210084,0.038503,0.009559,0.0,0.0,0.147391,0.298397,0.020465,0.142025,0.0,0.0,0.010988,0.0,0.0,0.014923,0.0
0.004406259634953827,0.015996,0.0,0.025194,0.0,0.080168,0.213794,0.036871,0.007031,0.0,0.0,0.149147,0.304851,0.018273,0.143616,0.0,0.0,0.008497,0.0,0.0,0.012558,0.0
0.004475598272450076,0.0162,0.0,0.02321,0.0,0.079847,0.217504,0.03524,0.004503,0.0,0.0,0.150903,0.311306,0.01608,0.145206,0.0,0.0,0.006007,0.0,0.0,0.010193,0.0
